airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-27,Delhi,Cochin,20:50:00,19:45:00,1375,1.0,No Info,12032
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No Info,12242
Indigo,2019-05-21,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Vistara,2019-06-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,No Info,17261
Indigo,2019-04-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6937
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Air Asia,2019-06-06,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,6810
Goair,2019-06-21,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,13250
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,15:30:00,795,1.0,No Info,17057
Air India,2019-06-09,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7662
Air India,2019-05-15,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14388
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Indigo,2019-06-09,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12373
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,In-flight meal not included,7832
Multiple Carriers,2019-03-06,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,15147
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,8586
Indigo,2019-04-21,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Vistara,2019-05-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air India,2019-03-12,Banglore,New Delhi,06:50:00,22:55:00,965,2.0,No Info,11474
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,14714
Jet Airways,2019-05-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12373
Jet Airways,2019-06-24,Delhi,Cochin,09:25:00,12:35:00,1630,2.0,No Info,13882
Multiple Carriers,2019-05-27,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,13377
Jet Airways,2019-05-01,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Indigo,2019-05-15,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5386
Indigo,2019-04-15,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Indigo,2019-04-09,Kolkata,Banglore,19:55:00,23:50:00,235,1.0,No Info,4226
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,8137
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-06-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Multiple Carriers,2019-03-09,Delhi,Cochin,06:50:00,19:15:00,745,1.0,In-flight meal not included,14817
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8576
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,7242
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,18:50:00,1525,1.0,In-flight meal not included,14053
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,11924
Indigo,2019-05-09,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-04-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Indigo,2019-06-06,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,7757
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,12121
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,15554
Air India,2019-05-01,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,8839
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,17267
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9653
Indigo,2019-03-06,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,7295
Jet Airways,2019-05-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,9663
Indigo,2019-05-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7215
Indigo,2019-06-15,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,13817
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,6593
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,No Info,14388
Vistara,2019-06-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13941
Air Asia,2019-05-18,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,8759
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14571
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,In-flight meal not included,4050
Vistara,2019-05-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,11913
Jet Airways,2019-03-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,13843
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Spicejet,2019-05-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Indigo,2019-06-24,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No Info,12327
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,9001
Air India,2019-05-06,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,In-flight meal not included,8824
Spicejet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3807
Spicejet,2019-05-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Indigo,2019-06-24,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,18:50:00,1670,1.0,No Info,12767
Spicejet,2019-04-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,5621
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,16757
Air India,2019-05-21,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,19:45:00,1665,1.0,In-flight meal not included,5963
Jet Airways,2019-03-03,Delhi,Cochin,17:30:00,04:25:00,655,1.0,No Info,17024
Indigo,2019-06-24,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6442
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Spicejet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,4812
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Multiple Carriers,2019-05-15,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8099
Air India,2019-06-27,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7174
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,9663
Air India,2019-05-18,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8361
Indigo,2019-06-27,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-03-03,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8049
Jet Airways,2019-05-12,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Spicejet,2019-06-06,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2227
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,11789
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,9663
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,5192
Air India,2019-03-27,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8367
Indigo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,505,1.0,No Info,5307
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Goair,2019-05-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4239
Vistara,2019-03-24,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,5403
Multiple Carriers,2019-03-06,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,15078
Indigo,2019-03-21,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No Info,9861
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Indigo,2019-04-15,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5947
Air India,2019-06-21,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5201
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,11:25:00,755,1.0,1 Long layover,31825
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,12:00:00,1325,1.0,No Info,14231
Indigo,2019-04-24,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Indigo,2019-05-09,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,13626
Air India,2019-05-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Goair,2019-05-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,12898
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Indigo,2019-05-15,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,11319
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,9663
Air India,2019-03-06,Mumbai,Hyderabad,17:20:00,14:50:00,150,2.0,No Info,11972
Spicejet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,8586
Indigo,2019-06-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,No Info,13941
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,11410
Indigo,2019-04-21,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Indigo,2019-06-24,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,14151
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Vistara,2019-04-15,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,11507
Indigo,2019-03-21,Delhi,Cochin,21:05:00,01:45:00,280,1.0,No Info,5947
Vistara,2019-06-01,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10407
Vistara,2019-06-03,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13469
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,6630
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,No Info,12284
Air India,2019-06-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8456
Indigo,2019-03-03,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,6565
Air India,2019-04-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,12681
Jet Airways,2019-06-06,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6478
Multiple Carriers,2019-06-15,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No Info,8018
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Indigo,2019-06-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9397
Jet Airways,2019-05-24,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Vistara,2019-03-09,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,7398
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,9187
Vistara,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,18:50:00,680,1.0,No Info,14629
Jet Airways,2019-05-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-05-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,8542
Multiple Carriers,2019-05-09,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Air India,2019-03-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,18371
Spicejet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,5126
Air India,2019-05-21,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9653
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2065,2.0,No Info,12723
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Indigo,2019-03-15,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5406
Indigo,2019-06-21,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,9899
Spicejet,2019-06-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Jet Airways,2019-06-24,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No Info,12819
Vistara,2019-04-15,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Goair,2019-06-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5281
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,15:15:00,1120,1.0,In-flight meal not included,11087
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,No Info,14714
Indigo,2019-04-06,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5046
Air India,2019-05-09,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9968
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Air India,2019-03-18,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,16079
Indigo,2019-03-15,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,08:15:00,700,1.0,No Info,16736
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Goair,2019-03-06,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No Info,8213
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,15554
Air Asia,2019-05-15,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,11467
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Indigo,2019-06-12,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air Asia,2019-05-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6752
Air India,2019-06-12,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Multiple Carriers,2019-05-18,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,8882
Indigo,2019-04-24,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,No Info,17261
